Comment,Cycles,DeepSleep,Framerate,From,Geo,Hours,Id,LenAdjust,Noise,Rating,Sched,Snore,To,Tz
work     #home,7,0.71428573,10,17. 03. 2015 0:28,e065c35,7.010,1426548519880,-2,0.051856164,3.75,17. 03. 2015 8:00,84,17. 03. 2015 7:28,Europe/Vienna
work     #home,4,0.6419753,10,15. 03. 2015 23:30,e065c60,7.880,1426458610928,-2,0.16892228,4.5,16. 03. 2015 8:00,84,16. 03. 2015 7:23,Europe/Vienna
  #geo0,3,0.45679012,10,15. 03. 2015 0:24,e065cda,7.860,1426375453451,-2,0.09338617,4.0,16. 03. 2015 8:00,168,15. 03. 2015 8:15,Europe/Vienna
Manually added,-1,-1.0,10,14. 03. 2015 7:30,,3.480,1426314655931,0,0.0,0.0,14. 03. 2015 11:00,-1,14. 03. 2015 11:00,Europe/Vienna
 #alcohol  #home,4,0.6304348,10,14. 03. 2015 0:59,e065c60,5.140,1426291165532,-2,0.55532277,3.5,16. 03. 2015 8:00,0,14. 03. 2015 6:07,Europe/Vienna
work     #home,6,0.6931818,10,13. 03. 2015 0:00,e065c60,7.320,1426201241848,-2,0.06569181,3.5,13. 03. 2015 8:00,168,13. 03. 2015 7:19,Europe/Vienna
work  #stress  #home,7,0.7011494,10,12. 03. 2015 0:04,e065c60,7.280,1426115048307,-2,0.07876111,3.0,12. 03. 2015 7:30,84,12. 03. 2015 7:21,Europe/Vienna
work   #stress  #home,5,0.7294118,10,11. 03. 2015 1:09,e065c60,5.930,1426032589746,-2,0.07832976,2.5,11. 03. 2015 7:50,504,11. 03. 2015 7:05,Europe/Vienna
work  #dream  #home,4,0.58947366,10,10. 03. 2015 0:32,e065c60,5.310,1425943943128,-2,0.124396905,3.75,10. 03. 2015 7:50,252,10. 03. 2015 5:50,Europe/Vienna
work  #dream  #home,6,0.56666666,10,09. 03. 2015 0:23,e065c60,7.470,1425857008558,-2,0.069184765,4.25,09. 03. 2015 7:50,84,09. 03. 2015 7:51,Europe/Vienna
 #dream  #home,8,0.64772725,10,08. 03. 2015 0:46,e065c35,7.330,1425771960074,-2,0.1040064,4.0,08. 03. 2015 9:30,168,08. 03. 2015 8:05,Europe/Vienna
 #alcohol  #home,5,0.6666667,10,07. 03. 2015 1:47,e065c35,6.620,1425689264779,-2,0.05092255,3.5,08. 03. 2015 9:30,84,07. 03. 2015 8:24,Europe/Vienna
work #alcohol  #geo0,5,0.43209878,10,04. 03. 2015 23:49,e033f73,9.060,1425509342214,-2,0.1586501,4.5,05. 03. 2015 9:00,504,05. 03. 2015 8:52,Europe/Vienna
work  #alcohol   #geo0,4,0.34117648,10,03. 03. 2015 23:27,e033f73,8.310,1425421632476,-2,0.09013713,3.5,04. 03. 2015 7:40,0,04. 03. 2015 7:45,Europe/Vienna
work     #geo0,5,0.4375,10,02. 03. 2015 23:48,e033f73,7.800,1425336499726,-2,0.12249965,4.25,03. 03. 2015 7:30,0,03. 03. 2015 7:36,Europe/Vienna
work      #home,6,0.5060241,10,01. 03. 2015 23:18,e065c35,8.120,1425248300559,-2,0.052086636,4.0,02. 03. 2015 7:30,0,02. 03. 2015 7:25,Europe/Vienna
work   #home,1,0.29787233,10,25. 02. 2015 5:13,e065c68,1.850,1424837636226,-2,0.013562374,0.0,25. 02. 2015 6:45,0,25. 02. 2015 7:04,Europe/Vienna
work   #stress  #home,4,0.6494845,10,24. 02. 2015 23:05,e065c68,5.400,1424815511914,-2,0.08828574,3.5,25. 02. 2015 6:45,0,25. 02. 2015 4:29,Europe/Vienna
work     #home,6,0.55,10,24. 02. 2015 0:09,e065c35,7.800,1424732957038,-2,0.1481282,2.75,24. 02. 2015 8:00,0,24. 02. 2015 7:57,Europe/Vienna
work        #home,8,0.48235294,10,22. 02. 2015 23:23,e065c60,8.310,1424643814022,-2,0.07029993,0.0,23. 02. 2015 8:00,1344,23. 02. 2015 7:42,Europe/Vienna
  #home,5,0.675,10,22. 02. 2015 1:05,e065c35,6.710,1424563559396,-2,0.083370246,3.75,22. 02. 2015 9:00,84,22. 02. 2015 7:48,Europe/Vienna
Manually added,-1,-1.0,10,21. 02. 2015 17:00,,2.830,1424534400000,0,0.0,0.0,21. 02. 2015 19:50,-1,21. 02. 2015 19:50,Europe/Vienna
 #alcohol  #home,4,0.7407407,10,21. 02. 2015 2:43,e065c60,6.790,1424483032288,-2,-3.0424307E-8,4.0,22. 02. 2015 9:00,0,21. 02. 2015 9:31,Europe/Vienna
work   #dream  #home,6,0.60227275,10,19. 02. 2015 23:24,e065c60,7.320,1424384670075,-2,0.12516116,4.0,20. 02. 2015 7:40,84,20. 02. 2015 6:43,Europe/Vienna
work #newmoon  #home,6,0.64634144,10,19. 02. 2015 0:02,e065c60,7.940,1424300553877,-2,0.14468038,4.25,19. 02. 2015 8:00,588,19. 02. 2015 7:59,Europe/Vienna
