event,timestamp
DEEP_END,1468203801464
LIGHT_END,1468205718432
DEEP_START,1468205718432
REM_START,1468207393884
REM_END,1468208593884
LIGHT_START,1468208593884
DEEP_END,1468208593884
ALARM_EARLIEST,1468216500000
ALARM_STARTED,1468216663743
ALARM_SNOOZE,1468216692516
ALARM_STARTED,1468217592771
ALARM_SNOOZE,1468217618394
ALARM_LATEST,1468217700000
ALARM_STARTED,1468217918449
ALARM_SNOOZE,1468217936471
LIGHT_END,1468217939154
TRACKING_STOPPED_BY_USER,1468217939155
DEEP_START,1467928994256
TRACKING_PAUSED,1467928995611
TRACKING_RESUMED,1467929116008
REM_START,1467931310426
REM_END,1467932510426
LIGHT_START,1467932510426
DEEP_END,1467932510426
LIGHT_END,1467933012736
DEEP_START,1467933012736
REM_START,1467935580061
REM_END,1467936780061
LIGHT_START,1467936780061
DEEP_END,1467936780061
LIGHT_END,1467941552006
DEEP_START,1467941552006
LIGHT_START,1467943058936
DEEP_END,1467943058936
LIGHT_END,1467943561246
DEEP_START,1467943561246
LIGHT_START,1467944817021
DEEP_END,1467944817021
LIGHT_END,1467945319331
DEEP_START,1467945319331
LIGHT_START,1467946826261
DEEP_END,1467946826261
LIGHT_END,1467951849446
TRACKING_STOPPED_BY_USER,1467951849447
ALARM_EARLIEST,1467955800000
ALARM_LATEST,1467957000000
LIGHT_START,1467759601909
TRACKING_PAUSED,1467759603541
TRACKING_RESUMED,1467759724045
LIGHT_END,1467764438533
DEEP_START,1467764438533
REM_START,1467765858371
REM_END,1467767058371
LIGHT_START,1467767058371
DEEP_END,1467767058371
LIGHT_END,1467769879735
DEEP_START,1467769879735
REM_START,1467772105677
REM_END,1467773305677
LIGHT_START,1467773305677
DEEP_END,1467773305677
LIGHT_END,1467776127052
TRACKING_STOPPED_BY_USER,1467776127053
ALARM_EARLIEST,1467783000000
ALARM_LATEST,1467784200000
DEEP_START,1467670925541
TRACKING_PAUSED,1467670926947
TRACKING_RESUMED,1467671048118
LIGHT_START,1467672430901
DEEP_END,1467672430901
LIGHT_END,1467673334117
DEEP_START,1467673334117
REM_START,1467675144837
REM_END,1467676344837
LIGHT_START,1467676344837
DEEP_END,1467676344837
LIGHT_END,1467676946981
DEEP_START,1467676946981
LIGHT_START,1467678151269
DEEP_END,1467678151269
LIGHT_END,1467679656629
DEEP_START,1467679656629
REM_START,1467681768421
REM_END,1467682968421
LIGHT_START,1467682968421
DEEP_END,1467682968421
LIGHT_END,1467685678069
DEEP_START,1467685678069
LIGHT_START,1467687785573
DEEP_END,1467687785573
LIGHT_END,1467692602725
DEEP_START,1467692602725
REM_START,1467693811301
REM_END,1467695011301
LIGHT_START,1467695011301
DEEP_END,1467695011301
LIGHT_END,1467696215655
